pais,inverex,PBI,desempleojuv,transito,obeadult,gastoseduc
Malawi,77012306,4.391688296,5.757999897,15452,5.8,2.9
Malaysia,8304480742,4.843086976,3.299999952,144403,15.6,4.2
Maldives,575658028.2,8.123128908,5.618999958,93,8.6,4.1
Mali,467295391.1,4.746484327,7.427999973,139107,8.6,3.4
Malta,4464845211,6.034213807,3.660000086,3096,28.9,4.7
Mauricio,460511368.2,3.759677231,6.429999828,2428,10.8,4.6
Mauritania,772890477.2,4.526746225,10.38500023,12253,12.7,1.9
Mexico,37839840989,2.194994725,3.279999971,704884,28.9,4.3
Moldova,293410000,4.301477757,4.110000134,9352,18.9,6.1
Mongolia,1951528196,7.74488062,5.380000114,113200,20.6,4.9
Mozambique,1678061192,3.44381384,3.45600009,31083,7.2,6.2
Namibia,234372724.5,1.059943471,19.87999916,48875,17.2,9.4
Nepal,68261793.94,7.622376108,3.193000078,27990,4.1,4.4
Netherlands,-3.44e+11,2.360915095,3.829999924,139124,20.4,5.4
New Zealand,2516488850,3.359219548,4.329999924,94000,30.8,6
Nicaragua,837600000,-3.363705717,5.199999809,23897,23.7,3.4
Niger,466042273,7.210803008,0.545000017,18949,5.5,3.5
Norway,-5664319362,1.118828479,3.799999952,94902,23.1,7.6
Oman,5941222367,1.287103915,1.799999952,60230,27,5.4
Pakistan,1.737e+09,6.151702611,4.079999924,264175,8.6,2.5
Papua New Guinea,1134643538,-0.279252285,2.563999891,9349,21.3,1.9
Paraguay,193825685.5,3.204250341,6.21999979,78811,20.3,3.5
Peru,5872657139,3.969351341,3.49000001,18699,19.7,4.2
Philippines,9948598824,6.341485572,2.339999914,216387,6.4,3.2
Poland,1.7624e+10,5.353703355,3.849999905,420000,23.1,4.6
Portugal,7846086578,2.849325934,6.989999771,82900,20.8,4.7
Qatar,-2186263736,1.234872192,0.109999999,7039,35.1,3.2
Romania,7343560129,4.474523775,4.190000057,84185,22.5,3.3
Rwanda,366192315.5,8.579437537,1.110999942,4700,5.8,3.4
Saint Lucia,45522200.84,2.926421259,19.07999992,1210,19.7,3.6
Samoa,16713450.86,-1.23315967,8.68599987,1150,47.3,4.8
Senegal,847841574.8,6.209241034,3.275000095,16665,8.8,5.3
Serbia,4071895068,4.495121293,12.72999954,44248,21.5,3.6
Sierra Leone,250446053.5,3.46460214,4.659999847,11701,8.7,9.3
Singapore,81180543800,3.661304994,3.642999887,3500,6.1,2.5
Slovakia,2250850832,3.794410553,6.539999962,56926,20.5,4
Slovenia,1538137615,4.422521568,5.110000134,38985,20.2,4.9
Solomon Islands,24992541.52,3.943123751,0.723999977,1390,22.5,10.1
South Africa,29083524354,1.487617373,26.90999985,750000,28.3,6.8
South Africa,5569462350,2.693404647,26.90999985,750000,28.3,6.8
South Africa,5569462350,2.693404647,6.484791635,750000,28.3,6.8
South Africa,5569462350,1.487617373,26.90999985,750000,28.3,6.8
South Africa,5569462350,1.487617373,6.484791635,750000,28.3,6.8
South Africa,29083524354,2.693404647,26.90999985,750000,28.3,6.8
South Africa,29083524354,2.693404647,6.484791635,750000,28.3,6.8
South Africa,29083524354,1.487617373,6.484791635,750000,28.3,6.8
