name;slug;value;date_of_information;ranking;region
Mali;mali;139107;2018;38;Africa
Malta;malta;3096;2008;161;Europe
Marshall Islands;marshall-islands;2028;2007;171;Australia and Oceania
Mauritania;mauritania;12253;2018;131;Africa
Mauricio;mauritius;2428;2015;169;Africa
Mexico;mexico;704884;2017;11;North America
Moldova;moldova;9352;2012;136;Europe
Mongolia;mongolia;113200;2017;44;East and Southeast Asia
Montenegro;montenegro;7762;2010;139;Europe
Morocco;morocco;57300;2018;79;Africa
Mozambique;mozambique;31083;2015;96;Africa
Namibia;namibia;48875;2018;82;Africa
Nauru;nauru;30;2002;219;Australia and Oceania
Nepal;nepal;27990;2016;99;South Asia
Netherlands;netherlands;139124;2016;37;Europe
New Caledonia;new-caledonia;5622;2006;146;Australia and Oceania
New Zealand;new-zealand;94000;2017;52;Australia and Oceania
Nicaragua;nicaragua;23897;2014;106;Central America and the Caribbean
Niger;niger;18949;2010;116;Africa
Nigeria;nigeria;195000;2017;29;Africa
Niue;niue;234;2017;206;Australia and Oceania
Island;norfolk-island;80;2008;215;Australia and Oceania
Macedonia;north-macedonia;14182;2017;127;Europe
Northern Mariana Islands;northern-mariana-islands;536;2008;195;Australia and Oceania
Norway;norway;94902;2018;51;Europe
Oman;oman;60230;2012;74;Middle East
Pakistan;pakistan;264175;2021;22;South Asia
Palau;palau;125;2018;211;Australia and Oceania
Papua New Guinea;papua-new-guinea;9349;2011;137;East and Southeast Asia
Paraguay;paraguay;78811;2020;61;South America
Peru;peru;18699;2018;117;South America
Philippines;philippines;216387;2014;25;East and Southeast Asia
Poland;poland;420000;2016;18;Europe
Portugal;portugal;82900;2008;59;Europe
Puerto Rico;puerto-rico;26862;2012;101;Central America and the Caribbean
Qatar;qatar;7039;2016;142;Middle East
Romania;romania;84185;2012;57;Europe
Russia;russia;1283387;2012;5;Central Asia
Rwanda;rwanda;4700;2012;148;Africa
Saint Barthelemy;saint-barthelemy;40;;217;Central America and the Caribbean
Saint Helena;saint-helena-ascension-and-tristan-da-cunha;198;2002;208;Africa
Saint Kitts and Nevis;saint-kitts-and-nevis;383;2002;200;Central America and the Caribbean
Saint Lucia;saint-lucia;1210;2011;179;Central America and the Caribbean
Saint Pierre;saint-pierre-and-miquelon;117;2009;213;North America
Samoa;samoa;1150;2018;181;Australia and Oceania
