name;slug;value;date_of_information;ranking;region
Malta;malta;4.7;2017 est.;75;Europe
Marshall Islands;marshall-islands;9.6;2019 est.;5;Australia and Oceania
Mauritania;mauritania;1.9;2020 est.;179;Africa
Mauricio;mauritius;4.6;2020 est.;80;Africa
Mexico;mexico;4.3;2018 est.;92;North America
Micronesia;micronesia-federated-states-of;9.7;2018 est.;4;Australia and Oceania
Moldova;moldova;6.1;2019 est.;32;Europe
Monaco;monaco;1.2;2019 est.;189;Europe
Mongolia;mongolia;4.9;2019 est.;69;East and Southeast Asia
Montserrat;montserrat;9.1;2019 est.;8;Central America and the Caribbean
Mozambique;mozambique;6.2;2019 est.;29;Africa
Namibia;namibia;9.4;2020 est.;6;Africa
Nepal;nepal;4.4;2018 est.;88;South Asia
Netherlands;netherlands;5.4;2018 est.;45;Europe
New Zealand;new-zealand;6;2018 est.;34;Australia and Oceania
Nicaragua;nicaragua;3.4;2019 est.;132;Central America and the Caribbean
Niger;niger;3.5;2019 est.;126;Africa
Norway;norway;7.6;2018 est.;14;Europe
Oman;oman;5.4;2019 est.;46;Middle East
Pakistan;pakistan;2.5;2019 est.;169;South Asia
Panama;panama;3.1;2019 est.;145;Central America and the Caribbean
Papua New Guinea;papua-new-guinea;1.9;2018 est.;180;East and Southeast Asia
Paraguay ;paraguay;3.5;2019 est.;127;South America
Peru;peru;4.2;2020 est.;96;South America
Philippines ;philippines;3.2;2019 est.;141;East and Southeast Asia
Poland ;poland;4.6;2018 est.;81;Europe
Portugal;portugal;4.7;2018 est.;76;Europe
Puerto Rico;puerto-rico;6.1;2014 est.;33;Central America and the Caribbean
Qatar;qatar;3.2;2020 est.;142;Middle East
Romania;romania;3.3;2018 est.;137;Europe
Russia;russia;4.7;2018 est.;77;Central Asia
Rwanda;rwanda;3.4;2020 est.;133;Africa
Saint Kitts and Nevis;saint-kitts-and-nevis;2.6;2015 est.;166;Central America and the Caribbean
Saint Lucia;saint-lucia;3.6;2020 est.;119;Central America and the Caribbean
Saint Vincent and the Grenadines;saint-vincent-and-the-grenadines;5.7;2018 est.;38;Central America and the Caribbean
Samoa;samoa;4.8;2020 est.;73;Australia and Oceania
San Marino;san-marino;3.4;2019 est.;134;Europe
SaoTomeandPrincipe;sao-tome-and-principe;5.9;2019 est.;35;Africa
Senegal;senegal;5.3;2019 est.;51;Africa
Serbia;serbia;3.6;2019 est.;120;Europe
Seychelles;seychelles;3.9;2019 est.;110;Africa
Sierra Leone;sierra-leone;9.3;2020 est.;7;Africa
Singapore;singapore;2.5;2020 est.;170;East and Southeast Asia
Slovakia;slovakia;4;2018 est.;104;Europe
Slovenia;slovenia;4.9;2018 est.;70;Europe
Solomon Islands;solomon-islands;10.1;2015 est.;3;Australia and Oceania
South Africa;south-africa;6.8;2020 est.;22;Africa
South Sudan;south-sudan;1.5;2016 est.;185;Africa
Spain;spain;4.2;2018 est.;97;Europe
Sri Lanka;sri-lanka;2.1;2018 est.;177;South Asia
Suriname;suriname;7.2;2019 est.;19;South America
Sweden;sweden;7.6;2018 est.;15;Europe
Switzerland;switzerland;4.9;2018 est.;71;Europe
Tajikistan;tajikistan;5.7;2019 est.;39;Central Asia
Tanzania;tanzania;3.1;2020 est.;146;Africa
Thailand;thailand;3;2019 est.;151;East and Southeast Asia
Timorleste;timor-leste;6.8;2018 est.;23;East and Southeast Asia
Togo;togo;5;2019 est.;65;Africa
Tonga;tonga;8;2019 est.;10;Australia and Oceania
TrinidadandTobago;trinidad-and-tobago;3.6;2019 est.;121;Central America and the Caribbean
Tunisia;tunisia;7.3;2016 est.;18;Africa
Turkey;turkey-turkiye;4.3;2018 est.;93;Middle East
Turkmenistan;turkmenistan;3.1;2019 est.;147;Central Asia
TurksandCaicosIslands;turks-and-caicos-islands;3.5;2019 est.;128;Central America and the Caribbean
Uganda;uganda;3;2020 est.;152;Africa
Ukraine;ukraine;5.4;2019 est.;47;Europe
United Arab Emirates ;united-arab-emirates;3.1;2019 est.;148;Middle East
United Kingdom ;united-kingdom;5.2;2018 est.;55;Europe
UnitedStates;united-states;5;2014 est.;66;North America
Uruguay;uruguay;4.7;2019 est.;78;South America
Uzbekistan;uzbekistan;5.1;2020 est.;61;Central Asia
Vanuatu;vanuatu;2.3;2020 est.;174;Australia and Oceania
Venezuela ;venezuela;1.3;2017 est.;188;South America
Vietnam;vietnam;4.1;2019 est.;101;East and Southeast Asia
West Bank;west-bank;5.3;2018 est.;52;Middle East
Zambia;zambia;4.5;2019;85;Africa
Zimbabwe;zimbabwe;3.6;2018 est.;122;Africa
