Data Source;Indicadores del desarrollo mundial;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;16/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Finland;FIN;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;18000000;25000000;37000000;13000000;35000000;68270104.62;57984170.91;48060229.2;33797154.83;27528009.75;27949721.28;99646702.73;910574.1328;84470656.84;136184676.1;112511585.5;405308277.3;273394061.1;531741374.9;490175830.8;812172838.2;-232904201.9;396369713.7;863526070.9;277840045;1450710446;752969481.7;2454075989;12514915951;7797795099;13502068645;3224710300;8094575465;5965369887;6777097342;10867806671;4638725790;21979356205;19406664159;-8825823234;12221008932;-6008001205;4931090895;-4922279529;17528599997;17485137456;5124075141;17149122038;-10571698825;15611668562;-2368877284;;
Fiji;FJI;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;6400000;6500000;8500000;15699999.9;14300000;14100000;7330000;17100000;12190000;10170587.69;36334087.82;36249750.06;36827764.64;31946263.97;23314315.29;21672150.93;8032725.264;16159396.5;31602682.5;30606741.57;-30386755.88;-40188200.05;37791314.98;-3243015.356;-31281482.11;-22683100.26;-72186987.81;-60193603.13;20334035.18;-147083835.8;591375.1146;41301896.35;30672578.33;40310494.54;250597673.1;172951928.7;583975309.3;464230334.1;679220489.3;308373711;178091735.6;217158525.7;277313672;243782754;377869372.3;205373209.1;391619655.4;387602565.3;468861002.9;322282826.1;239380737.9;;
France;FRA;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;621212781.7;525655900;656666980.5;1125479247;1846644388;1563849883;977422843.6;1896159372;2471468400;2588309413;3282773278;2469631625;1585298782;1725670869;2397989219;2595492780;3255870956;5139716802;8489906284;10303924629;13183285335;15152742090;21839501253;20754044036;15797125295;23736300874;21971888803;23047924755;29518429032;45971216472;41389082665;50142053919;51550483854;42350800678;35608535813;85137061931;78957053786;83777598395;67997446905;18422928062;38889439213;44205811127;32944663318;31589283791;5804878133;42825414106;32803666729;35868111746;77493098693;53499337504;14725353076;;
Faroe Islands;FRO;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Micronesia;FSM;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;20209300;;;;;;;;
Gabon;GAB;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;-700000;15699999.9;17399999.9;15900000;79599999.9;166900000;38700000;34899999.9;56546282.41;55048465.05;31522217.03;54575942.02;131738211.4;111844131.9;8124375.431;15091384.25;110249347.8;89806044.84;132550733.9;-30532121;73457901.59;-54589233.79;126940086.2;-113715590.7;-99602904;-195496960.3;-285112515.1;-114712203.8;132605754.2;89452781.63;278061232;-100615451;1160708.31;99666154.02;313970792;326161877.9;267805000;654808577.2;693511289;635674956.8;523939106.2;1123536919;677327365.5;324032442.4;1263109047;41707702.33;1243660160;1314029330;1379070816;1553136875;1716511506;;
United Kingdom;GBR;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;1487998812;1771224349;1207963191;2722732320;4373743380;3318535790;3006207709;4426545754;3787370849;6469481160;10122844316;5879375698;5413259759;5178781726;-347322544.8;5476472897;8569621722;13074923702;26430921298;27108240789;41363405439;23244186242;23011210834;19686257927;19561337402;29129258041;32412668835;51311836384;1.10E+11;1.30E+11;1.64E+11;56090924809;89760582753;36011240473;87059621382;2.53E+11;2.04E+11;2.10E+11;2.53E+11;14547108445;66734551294;27012050072;46750789728;54473175400;58890445253;45333483122;3.25E+11;1.25E+11;-25055440307;2236675458;31058892892;;
Georgia;GEO;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10000;8000000;;;242500000;265300000;82300000;131466678.3;109871635.5;160398660.5;334891041.6;492732940;453107292;1171394522;1892093991;1602232456;660800885.3;920915812.7;1170087550;968196197.6;1046562195;1836879043;1735285392;1659819993;1920628293;1270488181;1366159725;533969244.8;;
Ghana;GHA;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;67799999.9;30600000;11500000;14400000;14270000;70869955;-18260970;19217479.38;9696236.565;-2800000;15600000;16263752;16300000;2400000;2000000;5600000;4300000;4700000;5000000;15000000;14800000;20000000;22500000;125000000;233000000;106500000;120000000;81800000;167400000;243700000;165900000;89320000;58930000;136751000;139270000;144970000;636010000;1383177930;2714916344;2372540000;2527350000;3247588000;3294520000;3227000000;3363389444;3192320531;3485333369;3254990000;2989035000;3879831470;1875782953;;
Gibraltar;GIB;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guinea;GIN;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;780000;1450000;870000;-700000;-1830000;630000;-520000;560000;-1310000;-400000;380000;700000;1110000;8400000;12850000;15680000;12330000;17860000;38770000;19690000;2720000;210000;769000;23774000;17301000;17810000;63452427;9942000;1677000;30000000;78966000;97900000;105000000;125000000;385900000;381880000;91030000;0;956060000;605560000;190000;-73758603.66;53272458.42;1618447260;577590000;352760000;44400000;176350000;;
Gambia;GMB;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;100000;1700000;1700000;1399999.9;1200000;100000;900000;-560000;2104763.226;12364861.6;280000;2009878.342;270000;-400000;-1700000;-500000;-1990000;1525217.664;1177623.969;13713834.32;14119999.9;9270433.339;6323269.186;10741221.68;9716366.67;7729249.072;10655113.98;11666476.04;23699999.9;49479999.9;43520000;35479999.9;42826999.9;18272720.34;55526319.44;53650280.02;82208102.59;78094820.96;70792382.32;39447343.71;37140887.81;36077136.08;41183457.77;68340322.38;23014092.04;71976051.7;69830172.21;64338516.04;81805006.6;71083305.87;189576190.8;;
Guinea-Bissau;GNB;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;-130000;;40000;;230000;;;0;0;2290000;1439999.9;820000;120000;680000;470000;2020000;2089999.9;5830000;3299999.9;430000;40000;1030000;11479108.8;4407138.2;730876.6134;702270.8631;395613.5963;3545253.689;4005503.687;1915633.352;8692468.09;17887123.56;18770117.49;6630074.028;18890200;26240200;25024047.39;6624917.193;19639703.8;28852727.69;18575499.45;14221700;15691197.95;20563818.22;71658680.34;20989721.61;;
Equatorial Guinea;GNQ;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;-20000;;;-180000;450000;520000;2169999.9;2439999.9;5629999.9;1679999.9;500000;890258.9696;11073778.66;41324758.93;6018320.158;22301675.64;16995533.49;126924170.7;376180404.2;53451528.1;274768116.7;154296173.9;154499589.9;940741215.7;323391507.5;689779766;340914468.5;769146185.2;469506014.6;1242731087;-793872332.8;1636219625;2734000000;1975000000;985256411.5;582948701.9;167875182.6;233325072.8;53998812.9;304827249.5;396077780;452287112.1;529894746.1;;
Greece;GRC;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;50000000;42000000;55000000;62000000;67000000;24000000;305000000;387000000;428000000;613000000;672000000;520000000;436000000;439000000;485000000;447000000;471000000;683000000;907000000;752000000;1005000000;1135000000;1144000000;977000000;981000000;1053000000;1058000000;984000000;71200000;82701091.42;-8195469.288;2001266.562;34180546.54;1408086699;2147927927;688484256.6;5411403362;1957124444;5733447473;2766296835;532926980.5;1092191388;1662090330;2945271845;2697339246;1268938506;2698544612;3439131880;4025447789;4999635990;3303648833;;
Grenada;GRD;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;-100000;1400000;0;0;0;1900000;2500000;2800000;4111111.111;4481481.481;14722222.22;14981481.48;10481481.48;12874074.07;15274074.07;22581481.48;20248148.15;19311111.11;19977777.78;16962962.96;33500000;48685185.19;41551851.85;37407407.41;58748148.15;54488888.89;89166666.67;65014333.33;70157129.63;89787148.15;156554796.7;134832583.3;102556363;60420861.11;42648183.7;31489862.96;74688413.33;106797167.7;156442123.7;109856645.7;155662145.3;184005689;198978976.6;148811370.1;;
Greenland;GRL;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guatemala;GTM;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;29399999.9;28600000;15900000;34799999.9;47399999.9;80000000;12500000;97500000;127200000;117000000;110700000;127100000;77100000;45000000;38000000;61800000;68800000;150200000;329900000;76200000;47700000;90700000;94100000;142500000;65200000;75200000;76900000;631400000;1346300000;924600000;-788600000;-936494410.4;-1016996774;19488617.6;321400000;540000000;635300000;859200000;731386670;499821250;1102460180;876760590;1399819890;1522143500;1407555280;1203355080;845786560;998344470;922397870;1170758860;1004371660;;
Guam;GUM;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guyana;GUY;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;9000000;-2439999.9;2500000;8199999.9;1360000;800000;5009999.9;-1764705.883;4019999.9;588235.2943;588235.2943;-1777777.778;4433333.335;4733333.335;4489019.519;1810974.269;-9000000;4349999.9;2100000;-2060000;7900000;12340000;146610000;69540000;106690000;74420000;59000000;52000000;44000000;46000000;67100000;56000000;43600000;26100000;30000000;76800000;102400000;152400000;178000000;164000000;198000000;246800000;277910000;200558390;237750048.6;137700000;162654036.4;327343651.2;1180405596;1695179887;1194482521;;
High income;HIC;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;9282565074;10893620620;12431121668;15594864874;18940909014;19632126468;15673151355;22207192628;27297954577;34558498836;45895199986;57348335253;54583382124;43855710259;50662075834;33468437668;72287220409;1.28E+11;1.48E+11;1.80E+11;2.19E+11;1.46E+11;1.44E+11;1.73E+11;1.98E+11;2.72E+11;3.05E+11;3.85E+11;6.49E+11;1.05E+12;1.42E+12;7.35E+11;6.03E+11;5.79E+11;8.01E+11;1.27E+12;1.83E+12;2.60E+12;1.86E+12;1.02E+12;1.31E+12;1.64E+12;1.38E+12;1.43E+12;1.29E+12;2.14E+12;2.17E+12;1.63E+12;3.20E+11;1.08E+12;6.05E+11;;
Hong Kong;HKG;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;49822078;59483393.5;110442097;271274584.7;153444422.9;377359617.8;255361829.7;273737273;477382649.1;648065889.9;710201409.3;2062785582;1236856768;1144127082;1287739696;-267220620.9;1888313590;6249829234;4978949480;2041094981;3275072298;1020860063;3887467096;6929625915;7827938821;6213362504;10460173705;11368147926;13939361336;25355410569;70495739306;31291719645;6747855221;18567357065;22194238605;40963127271;44901793969;62121011424;67035187588;54275707074;82709142976;96135081265;74887135901;76857453418;1.30E+11;1.81E+11;1.33E+11;1.26E+11;97036255479;58299361095;1.17E+11;;
Honduras;HND;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;8400000;7400000;3000000;6599999.9;-1150000;7000000;5250000;8900000;13150000;28200000;5800000;-3600000;13800000;21000000;20450000;27500000;30000000;38650000;48300000;51000000;43500000;52100000;47600000;26700000;34800000;50000000;90900000;121500000;99000000;237300000;349978000;309826700;287314900;390166272.9;592120092.9;601059572.2;717591908.2;966926354.3;1200798087;494497450.5;607376418.1;1042571021;1081346796;1069029263;1704790710;1316679827;1147030450;949955941.5;1442587576;955095298;236016866.2;;
Very indebted poor countries (ppme);HPC;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;306793998.9;143209999.6;259054984;380329998.9;377841910;513134920.6;541019849.5;421326634.5;695217442.3;694128839.6;789971792.5;754371998.3;483790872;188085491.4;203002617.8;578010393.1;-15811822.05;553089685.8;619129808.4;919883278.6;708906379.7;355549390.7;588676355.3;1219407235;1186793913;1683486032;1897157226;3333085606;4053908679;4612000883;4053413013;4685436003;5892830404;6836256861;7422180824;8173921988;10333820163;14873118486;19433535058;15646350118;23687328775;28510235840;32570848777;35188732024;29403053949;29886754944;24657793053;29559873800;28398100347;23493296854;17540339640;;
Croatia;HRV;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13000000;144186480.2;114440874.4;108053139.7;492528182.7;596514805.2;1004077220;1454741834;1015069997;1036758146;980784304.8;1846434012;1314179917;1814728743;3346611893;4645807617;5249620116;3069599256;1545050408;1248979436;1465100045;975476235.5;3187415809;44642053.16;429948322.7;460160214.9;1319393496;3904101553;1178762633;;
Haiti;HTI;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;2799999.9;3400000.001;4059985.039;6979999.995;7939993.416;2640000.001;7780000.002;8000000.002;10000000;12000000;13000000;8340000.002;7080000.001;8420000.002;4460000;4920000;4820000;4680000;10100000;9360000;8000000;-1800000;-2200000;-2800000;-2799999.9;7400000;4100000;4000000;10760000;30000000;13250000;4400000;5700000;13800000;5900000;26000000;160600000;74500000;29800000;55470000;178000000;119000000;156000000;161918586.3;99000000;105680000;104900000;374860000;105000000;75000000;25000000;;
Hungary;HUN;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;553808999.9;1462141210;1479165394;2349715111;1144083870;4804151332;3288936449;4164123320;3261654750;3384965975;2747712560;4058819561;3643428380;4157510420;4538099567;27489690204;18678720025;70631297039;75107772943;-2792080129;-20770280261;10740966551;10815928328;-3586600505;13060104659;-5266437315;69681210262;-12133055293;-64364899191;98501590243;1.71E+11;;
Only birf;IBD;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;2491210760;2701384457;1733455901;3643465888;4566983788;5358210619;4026855175;4083549202;5849369133;6847843445;8184029276;11764372051;10142749446;8806830919;8774437537;10380259583;9525871747;10320744870;17500418326;18794972021;20018382892;28864616907;41229486168;60246969395;82321356264;94465756719;1.20E+11;1.59E+11;1.57E+11;1.70E+11;1.57E+11;1.67E+11;1.50E+11;1.63E+11;2.28E+11;3.04E+11;4.03E+11;5.58E+11;6.29E+11;4.27E+11;6.26E+11;7.36E+11;6.81E+11;7.24E+11;6.55E+11;6.09E+11;5.50E+11;5.26E+11;6.03E+11;5.69E+11;5.31E+11;;
BIRF and AIF;IBT;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;3174880759;3212544456;2422790885;4570655887;5313032698;6381525394;5050499285;5082941049;6905481757;8041869819;8498148083;13294573315;11270310472;9598994465;9394034344;11747543359;10007328860;11805709813;18982919087;22266882426;21921316935;30986119442;44295531913;64731221520;86698739812;98132521248;1.24E+11;1.64E+11;1.63E+11;1.76E+11;1.63E+11;1.74E+11;1.59E+11;1.74E+11;2.41E+11;3.23E+11;4.28E+11;5.93E+11;6.72E+11;4.63E+11;6.67E+11;7.86E+11;7.31E+11;7.76E+11;7.02E+11;6.59E+11;5.95E+11;5.76E+11;6.48E+11;6.11E+11;5.66E+11;;
Total of the AIF;IDA;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;683669999;511159999.7;689334983.8;927189998.6;746048909.9;1023314775;1023644110;999391847.4;1056112624;1194026373;314118806.9;1530201264;1127561026;792163545.8;619596806.4;1367283776;481457113;1484964943;1482500760;3471910405;1902934042;2121502535;3066045745;4484252125;4377383548;3666764529;4260256482;5345637918;5640525251;6462224175;6326018808;6739634462;8944299118;10775057279;13075937149;18460374746;25182154354;35500556381;43006473662;35438182430;40915609250;50037426461;49736575477;52142998401;47170594768;49666170796;44228916152;50436103683;45009577823;42540245491;35071606733;;
AIF mixture;IDB;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;417619999.9;420630000;515769999.5;615749999.7;472459999.9;595518747.5;472620978.4;569046574.1;397335618.6;611564754.2;-280995598.9;1000268729;806209525.2;871070052;463058227.3;1108516179;401239866;1068507456;887134523.4;2353070650;991235562.3;1189955554;1537794813;2368176009;2653898683;1917880156;2029666371;1824847566;1665692209;2140110942;1996323730;1782580459;3750416112;3797298821;3964141337;9068016474;12284606537;16088966800;17785703166;14967636556;12733640607;15172598264;11581597250;12224169018;13230977971;12769340760;10155763694;14691016902;11806494350;8403228760;6149663626;;
Indonesia;IDN;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;145380000;299069999.9;253520000;581000000;182120000;1292060000;747590000;235000000;417709999.9;226000000;180000000;133000000;225000000;292000000;222000000;310000000;258000000;385000000;576000000;682000000;1093000000;1482000000;1777000000;2004000000;2109000000;4346000000;6194000000;4677000000;-240800000;-1865620963;-4550355286;-2977391857;145085548.7;-596923827.8;1896082770;8336257208;4914201435;6928480000;9318453650;4877369178;15292009411;20564938227;21200778608;23281742362;25120732060;19779127977;4541713739;20510310832;18909826044;24993551748;19175077748;;
Only AIF;IDX;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;266049999.1;90529999.7;173564984.3;311439998.9;273588910;427796028;551023131.9;430345273.3;658777005;582461619.3;595114405.7;529932534.5;321351500.9;-78906506.25;156538579.2;258767597.3;80217247.04;416457486.5;595366237;1118839755;911698480.2;931546980.7;1528250932;2116076115;1723484865;1748884374;2230590112;3520790352;3974833042;4322113233;4329695077;4957054003;5193883005;6977758458;9111795812;9392358272;12897547818;19411589582;25220770496;20470545873;28181968643;34864828197;38154978227;39918829383;33939616797;36896830036;34073152458;35745086781;33203083473;34137016732;28921943107;;
Man of Man;IMN;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
India;IND;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;45460000;47659999.9;17789999.9;37909999.9;56969999.9;-10326246.71;-7706430.543;-36060000;18090000;48570000;79159999.9;91920000;72079999.9;5639999.9;19239999.9;106090000;117730000;212319999.9;91250000;252099999.9;236690000;73537638.39;276512439;550370024.9;973271468.7;2143628110;2426057022;3577330042;2634651658;2168591054;3584217307;5128093562;5208967106;3681984671;5429250990;7269407226;20029119267;25227740887;43406277076;35581372930;27396885034;36498654598;23995685014;28153031270;34576643694;44009492130;44458571546;39966091359;42117450737;50610647354;64362364994;;
Not qualified;INX;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ireland;IRL;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;32000000;25000000;31000000;52000000;51200000;158169999.9;172680000;136240000;375259999.9;336680000;286449999.9;203449999.9;242009999.9;169650000;121360000;163660000;250293354.5;322476620.4;257438683.1;192759335.7;621910999.9;1361668000;1458175000;1077890000;856979000;1442925000;2617483000;2028797815;8862216911;18210641714;25779436153;9650920350;29323796527;22781292817;-10607612697;47001243614;22070063905;59934755383;23287686336;53974309647;37748455284;23699352433;58090414123;70811172728;97382259039;2.37E+11;1.03E+11;58300808408;67361732390;-46633226471;32451687293;;
Iran;IRN;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;28000000;65200000;91200000;561500000;323500000;494399999.9;-101590000;345690000;909059999.9;164349999.9;80909999.9;28219999.9;-136090000;-78519999.9;42689999.9;-38149999.9;-112440000;-307630000;60539999.9;-19420000;-361949999.9;22590000;8500000;207550000;2000000;17000000;26000000;53000000;24000000;35000000;39000000;408118760;3519380360;2877481500;3037299840;2889191670;2317538500;2017791750;1979988010;2983421910;3648972410;4276718690;4661734400;3049945000;2105494000;2050000000;3372000000;5019000000;2373000000;1508000000;1342000000;;
Iraq;IRQ;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;-910000;-180000;-90000;-6549999.9;-8830000;-44920000;1350000;4389999.9;300000;1610000;1530000;4120000;2419999.9;-234000;-2749000;-1159999.9;918000;-4291000;-3383000;390000;-6809999.9;7685999.9;93000;803000;-30000;;-1994000;1153000;7387999.9;;-32000;-6655999.9;-326000;1000000000;300000000;515300000;383000000;971800000;1855700000;1598300000;1396200000;2082000000;3400000000;-2335300000;-10176400000;-7574200000;-6255900000;-5032400000;-4885100000;-3075600000;-3146600000;;
Iceland;ISL;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;4500000;19800000;2799999.9;-1500000;13199999.9;42399999.9;4500000;4200000;8100000;3100000;22300000;53000000;35800000;-23400000;13700000;23600000;8500000;2400000;-14800000;-27400000;-4803187.83;-18436099.08;8648079.003;-1174.965449;2394198.454;-9309003.234;83381484.12;148012830;154082592;66639312.89;155160734.1;163445772.3;91905493.06;335355205;755317000.4;3093680068;3876554983;6872169567;1203686965;63588140.75;256982201.7;1106958185;1024164328;472607545.8;766775539;1145767445;-1066286957;-6999892981;-622718386.3;-556463720.7;-895135831.5;;
Israel;ISR;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;49000000;57000000;114000000;149000000;84000000;45000000;47000000;81000000;39000000;11000000;51000000;114400000;21300000;78500000;89500000;112300000;143400000;224100000;267200000;160400000;151000000;345600000;588500000;604900000;441600000;1350300000;1397100000;1633800000;1737400000;4150000000;8047500000;1771300000;1582500000;3322000000;2946900000;4818400000;14395500000;8798100000;10274200000;4606900000;6984700000;8653000000;9017300000;11842200000;6048900000;11336200000;11988000000;16892500000;21514500000;17362500000;24283200000;;
Italy;ITA;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;624159999.4;549089964.6;673181132.5;673103003.1;595350461;644515567.9;109235548;1129034015;477670644.8;415373573;578156245;1124409633;615183541.1;1194907475;1313182672;1066817196;-153004673.1;4188118187;6789447589;2191462724;6440765876;2403349144;3118551015;3738910088;2208555823;4843882770;3548937154;3687266506;2640065101;6941768225;13172981900;14878086499;17239360005;19572886734;20100742902;36762073075;56995485107;65975535145;-9501579210;16607196345;9930501391;34465481830;34901033.01;19531411962;17032744039;13303439230;25656663795;11138429977;44249715319;31185214397;-22090942205;;
Jamaica;JAM;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;162099999.9;175199999.9;97500000;73299999.9;30500000;61399999.9;-600000;-9700000;-26600000;-26400000;27700000;-11500000;-15800000;-18700000;12200000;-9000000;-4600000;53400000;-12000000;57100000;137900000;133200000;142400000;77900000;79000000;101800000;135700000;155700000;322100000;474700000;419600000;576500000;443800000;683500000;559365888;637901995.9;842342788.3;811902426.3;1376602630;485164640.1;185775630.6;172757165.4;413333448.1;544747561.8;582148741.6;924977863.7;927976719;888835228.5;774620603.1;665415555;265100553.6;;
Jordan;JOR;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;559999.382;2130438.418;6830353.699;25641693.89;-7530498.542;11230237.21;56431307.45;26371066.47;33830643.46;140813771.7;59432045.57;34864661.93;77487832.89;24948927.46;22754208.38;39498588.02;23731746.2;-1349805.313;37646775.31;-11887398.04;40722566.98;-33548530.15;2854731.793;13308089.21;15514809.59;360930888.6;310014104.4;157968970.4;913258110;273628171.3;238222874.7;546967559.9;936812411.8;1984485190;3544005642;2622144779;2826744496;2413098592;1688394366;1486056338;1548450704;1946597204;2178450704;1600281690;1552957746;2029718310;954929577.5;729718309.9;760281690.1;;
Japan;JPN;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;94000000;210000000;169000000;-42000000;202000000;226000000;113000000;21000000;8000000;239000000;278000000;189000000;439000000;416000000;-10000000;608713150.2;242107761.7;1177422254;-483800486.9;-1059696732;1806039008;1284268820;2755603983;210435439.5;888384470.9;41463072.35;-38203596.34;2486935040;2512021924;14780510031;10688168326;4926033619;11557373874;8771535612;7527948175;5459618343;-2396909736;21631204436;24624845330;12226471579;7440979284;-850717035.1;546962692.2;10648441636;19752249424;5252218412;40954181469;18802251208;25289367858;39960544340;61514924438;;
