Data Source;Indicadores del desarrollo mundial;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;16/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cameroon;CMR;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;16000000;1700000;3299999.9;3100000;21600000;27100000;16399999.9;8710528.859;40548470.54;62099933.68;129827990;135391025.4;111440362.7;213821207.6;17667655.87;316229050.2;-90700157.51;115925994.9;92362479.48;-85734446.55;-112831336.8;-14498049.75;29203775.78;5120733.123;3674320.509;15105727.29;104417058.4;149614497.8;55231294.16;35009801.84;159708006.2;-11668387.38;505256043.3;334888535.9;67984855.64;243601636.5;59122291.34;189581294.6;20995513.74;746276649;536265313.2;653266626.6;527363935.6;547404749.8;725854540.9;694336734.9;663893595.2;814458940.9;765092012.8;1024779238;675186993.7;;
Congodemocraticrepublicof;COD;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;6429999.9;5740000;10470000;17719999.9;51979999.9;9119999.9;238430000;18190000;97680000;143849999.9;109620000;69629999.9;-2370000;-192789999.9;-32450000;69189999.9;5549999.9;-55079999.9;-3939999.9;-6110000;-14460000;12390000;-730000;6870000;-1500000;-22350000;24789999.9;-44350000;61329999.9;11160000;94190399.9;102221899.9;187598693.6;391254723.5;409032814.4;180000000;256100000;1808000000;1726800000;-243200000;2742300000;1596024304;2891607809;1697585831;1499572152;1165720010;932374669.4;1047979483;1407563588;1350994226;1498084808;;
CongoRepublicof;COG;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;5099999.9;48700000;66299999.9;68299999.9;46100000;15400000;2379999.9;1986323.6;4050415.527;16481632.66;40032269.02;30842951.46;35349296.93;56079518.98;34948545.69;12689672.8;22439698.31;43448956.41;9095236.529;-7125213.1;22551558.2;32753529.6;2739032.5;286054322;2990000;112782084.6;62427618.58;-49200799.91;-169664715.5;-68298651.84;-98141674.35;-135479673;200095651.5;220038914.2;88557997.22;801314933.9;1489015781;1424251936;1947972913;1189051286;1522228646;298678855.1;-69249948.22;1878859499;2891102397;4279839199;50608700.35;4416953734;4315250918;-1427679257;-1983178867;;
Colombia;COL;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;43000000;43128140;18457070;23842600;40889760;37068850;25000000;65000000;107000000;127000000;157137700;265000000;366000000;618000000;584000000;1023000000;674000000;319000000;203000000;576000000;500000000;456900000;728700000;959100000;1446497261;968368273.6;3111676590;5562216362;2828826262;1507907130;2436459923;2541942612;2133698124;1720493455;3115635874;10235417315;6750625311;8885764398;10564155796;8034746177;6429989613;14647048638;15039979139;16210419016;16168701715;11620532646;13857937721;13700880445;11298692774;13989154028;7458624984;;
Comoros;COM;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;1919999.9;;0;0;150000;0;0;0;0;7546566.717;3767051.259;3266400.378;393003.1038;2506163.334;-1446978.125;190704.7806;177714.24;889525.0177;510000;20000;384216.3;271000;93636.1151;1145914.995;430423.4793;793243.7346;672560.3786;558865.8;778420.2139;7691947.289;4650574.157;13839598.17;8350406.722;23118440.54;10375197.46;4231644.417;4684558.675;4936699.51;3569823.73;3919473.025;5672348.129;4300803.966;3873524.392;;
Cabo Verde;CPV;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;-8734.1784;2786140.595;597911.68;174023.2565;252601.2166;1744334.228;450471.753;3644068.127;2128443.354;26180647.12;28528007.74;11576610.74;6793745.394;53935025.35;34202238.38;9010186.206;14759046.68;39216510.81;67638273.8;80513541.33;131539968;191764359.2;210903689.3;126003552.2;116200563.6;102246382.2;128009964.8;89297444;180589795.4;96071472.84;126312006.1;111711633.7;102763598.2;89833935.68;50177018.58;;
Costa Rica;CRI;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;26345009.9;22100000;25846010;37700000;46310009.9;69022010;61952010;62500000;48600000;43500000;52600000;69600000;28900000;60700000;55900000;69900000;61000000;80300000;122200000;101300000;162500000;178400000;226000000;246700000;297600000;336900000;426950000;409440000;614500000;619469212;723426415.3;621846413.2;723172624.8;774386239.8;1083718486;1528787464;1801002598;2241492021;2436112218;1614614468;1906923793;2733268840;2696295211;3205384977;3242149797;2955521681;2620435491;2924906991;3014543618;2719031329;2103003649;;
Small states of the Caribbean;CSS;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;347578499.7;342916171.5;298679837;269180299.9;305300684.4;178387131.5;162120408.6;100970960.8;117240333.3;115577068.8;316929902;443005555.6;274283333.4;228691666.7;115297352.9;43155758.85;-26018518.42;89487037.04;57234874.53;105774489.1;377432455;526483875.5;572953464.2;653965212.1;885069632.5;835726537.7;839764566.1;1685532067;1580922408;1666996131;1708338669;2038044659;2134414351;2329939021;2533129347;3284457854;3749496377;3938759458;6617474875;3006666779;2587458156;2241090590;672346250.5;928627334.7;3079599971;2928917702;2892158964;1900126716;2835137647;4005095884;3613634749;;
Cuba;CUB;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuacao;CUW;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70502234.64;69702234.64;-1508379.888;69296089.39;146435754.2;133083798.9;172681564.2;126924996.8;78235859.04;158149266.9;;
Cayman Islands;CYM;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;1830000;2540000;41009999.9;25719999.9;75109999.9;56549999.9;19559999.9;97120000;19930000;17520000;668240000;453980000;14279999.9;104739999.9;22430000;79459999.9;49039999.9;-8539999.9;27489999.9;459759999.9;467069999.9;50310000;1231710000;3150870000;4354110000;6475830000;9358723000;2133108000;2802975000;2602570000;3703461000;9506484000;24820937000;28210535000;19555735000;20298045000;20965962639;31131855108;21489604741;34907994324;46040609771;80501525457;2684234739;2506466934;173644548.8;1080420249;6171022541;;
Cyprus;CYP;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;20199999.9;29600000;36399999.9;37200000;32399999.9;18100000;32399852.81;41409229.36;57026191.23;70533030.88;84973393.79;78304678.27;71520842.97;68357791.44;52686514.25;57954233.56;46319251.91;51964617.64;62147895.56;69749822.21;126615461.4;81820990.74;107441112.7;83432989.4;75174068.6;243136818.6;233749453.8;546519214.6;345398143.2;813054280.1;854874285.7;944742874;1103449726;908147518;1118841809;1161973511;1871897927;2294635571;12297296307;64632059145;31031904287;40445860585;69972767554;25966316071;51738978689;28960532080;8508203489;14406568776;-1110259659;41997342808;-327244137;;
Czech;CZE;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;654278424.7;878231739.7;2567564642;1435279128;1286492873;3700169388;6312596676;4987079129;5640707236;8496609036;2021275746;6423465151;13730164683;7132002408;13815656004;8815393022;5271613702;10167834375;4188736491;9433199805;7357578653;8088661930;1699914617;10850612308;11234740946;8324668391;10752120871;8515481808;;
Germany;DEU;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;1103338755;1897270696;2102302343;2176992344;690496822.9;1321369938;949983808.6;1603458933;1732552304;-186573401.2;-415839559.6;468263695.1;997855446.9;590664407;531108429;1192024600;1620170657;-1508574621;5173426485;2556702846;4741534934;-2137728434;479814189.3;7517248751;12041505213;15591797829;18638443894;29526509277;86035665071;2.48E+11;56948542387;51268214891;65401516009;-20408419557;59835195025;87444159239;50847183837;30954735498;56701916795;86037502102;97535403953;65443087632;67199694459;19488312315;62422464519;64707795193;1.10E+11;1.67E+11;71679659389;1.43E+11;;
