"pais","desempleo","obeadult","inftransito","gastoseduc","inverex","PBI"
"Luxembourg",5.590000153,22.6,2875,3.7,-26044791278,2.00437712
"Madagascar",1.843000054,5.3,31640,2.9,612036371.4,3.20001288
"Malawi",5.757999897,5.8,15452,2.9,77012306,4.391688296
"Malaysia",3.299999952,15.6,144403,4.2,8304480742,4.843086976
"Maldives",5.618999958,8.6,93,4.1,575658028.2,8.123128908
"Mali",7.427999973,8.6,139107,3.4,467295391.1,4.746484327
"Malta",3.660000086,28.9,3096,4.7,4464845211,6.034213807
"Mauricio",6.429999828,10.8,2428,4.6,460511368.2,3.759677231
"Mauritania",10.38500023,12.7,12253,1.9,772890477.2,4.526746225
"Mexico",3.279999971,28.9,704884,4.3,37839840989,2.194994725
"Moldova",4.110000134,18.9,9352,6.1,293410000,4.301477757
"Mongolia",5.380000114,20.6,113200,4.9,1951528196,7.74488062
"Mozambique",3.45600009,7.2,31083,6.2,1678061192,3.44381384
"Namibia",19.87999916,17.2,48875,9.4,234372724.5,1.059943471
"Nepal",3.193000078,4.1,27990,4.4,68261793.94,7.622376108
"Netherlands",3.829999924,20.4,139124,5.4,-3.44e+11,2.360915095
"New Zealand",4.329999924,30.8,94000,6,2516488850,3.359219548
"Nicaragua",5.199999809,23.7,23897,3.4,837600000,-3.363705717
"Niger",0.545000017,5.5,18949,3.5,466042273,7.210803008
"Norway",3.799999952,23.1,94902,7.6,-5664319362,1.118828479
"Oman",1.799999952,27,60230,5.4,5941222367,1.287103915
"Pakistan",4.079999924,8.6,264175,2.5,1.737e+09,6.151702611
"Papua New Guinea",2.563999891,21.3,9349,1.9,1134643538,-0.279252285
"Paraguay",6.21999979,20.3,78811,3.5,193825685.5,3.204250341
"Peru",3.49000001,19.7,18699,4.2,5872657139,3.969351341
"Philippines",2.339999914,6.4,216387,3.2,9948598824,6.341485572
"Poland",3.849999905,23.1,420000,4.6,1.7624e+10,5.353703355
"Portugal",6.989999771,20.8,82900,4.7,7846086578,2.849325934
"Qatar",0.109999999,35.1,7039,3.2,-2186263736,1.234872192
"Romania",4.190000057,22.5,84185,3.3,7343560129,4.474523775
"Rwanda",1.110999942,5.8,4700,3.4,366192315.5,8.579437537
"Saint Lucia",19.07999992,19.7,1210,3.6,45522200.84,2.926421259
"Samoa",8.68599987,47.3,1150,4.8,16713450.86,-1.23315967
"Senegal",3.275000095,8.8,16665,5.3,847841574.8,6.209241034
"Serbia",12.72999954,21.5,44248,3.6,4071895068,4.495121293
"Sierra Leone",4.659999847,8.7,11701,9.3,250446053.5,3.46460214
"Singapore",3.642999887,6.1,3500,2.5,81180543800,3.661304994
"Slovakia",6.539999962,20.5,56926,4,2250850832,3.794410553
"Slovenia",5.110000134,20.2,38985,4.9,1538137615,4.422521568
"Solomon Islands",0.723999977,22.5,1390,10.1,24992541.52,3.943123751
"South Africa",26.90999985,28.3,750000,6.8,29083524354,2.693404647
"South Africa",26.90999985,28.3,750000,6.8,5569462350,2.693404647
"South Africa",26.90999985,28.3,750000,6.8,5569462350,1.487617373
"South Africa",26.90999985,28.3,750000,6.8,29083524354,1.487617373
"South Africa",6.484791635,28.3,750000,6.8,29083524354,2.693404647
"South Africa",6.484791635,28.3,750000,6.8,5569462350,2.693404647
"South Africa",6.484791635,28.3,750000,6.8,5569462350,1.487617373
"South Africa",6.484791635,28.3,750000,6.8,29083524354,1.487617373
"Spain",15.25,23.8,683175,4.2,58626179995,2.288785676
"Sri Lanka",4.320000172,5.2,114093,2.1,1614044009,3.272000478
"Suriname",7.926000118,26.4,4304,7.2,130960766.3,4.948270766
"Sweden",6.360000134,20.6,573134,7.6,-1368759169,1.950022846
"Tajikistan",7.012000084,14.2,30000,5.7,220862232.3,7.599278842
"Tanzania",2.20600009,8.4,145203,3.1,971576866,5.444967601
"Thailand",0.769999981,10,180053,3,13186328518,4.222870287
"Timorleste",4.730999947,3.8,6040,6.8,47925664.57,-0.687542477
"Togo",3.729000092,8.4,9951,5,-180972714.8,4.9762131
"Tonga",3.069999933,48.2,680,8,19911276.38,0.300009404
"Turkey",10.89000034,32.1,67333,4.3,1.2505e+10,2.979885235
"Turkmenistan",4.234000206,18.6,58592,3.1,1997297379,6.199999941
"Uganda",1.922999978,5.3,20544,3,1055353353,6.303923781
"Ukraine",8.800000191,24.1,169694,5.4,4.975e+09,3.48836234
"United Arab Emirates",2.351999998,31.7,4080,3.1,10385286000,1.189855642
"United Kingdom",4,27.8,394428,5.2,-25055440307,1.650925496
"UnitedStates",3.900000095,36.2,6586610,5,2.15e+11,2.918856897
"Uruguay",8.340000153,27.9,77732,4.7,1559392289,0.477907184
"Uzbekistan",5.835000038,16.6,86496,5.1,624686535.5,5.354996888
"Vanuatu",1.809000015,25.2,1070,2.3,37583468.42,2.900230273
"Vietnam",1.159999967,2.1,195468,4.1,1.55e+10,7.2
"Zambia",12.01000023,8.1,67671,4.5,408438491.7,4.034493897
"Zimbabwe",4.796000004,15.5,97267,3.6,717865322.2,4.82421054
