"","name","Desempleo","GastosEducacion","KMVia","ObesidadAdultos","LibertadCivil"
"238"," Taiwan",NA,NA,NA,NA,9.41
"239"," Australia",NA,NA,NA,NA,9.41
"240","  Switzerland",NA,NA,NA,NA,8.82
"241"," Netherlands",NA,NA,NA,NA,8.82
"242"," Canada",NA,NA,NA,NA,9.12
"243"," Uruguay",NA,NA,NA,NA,9.71
"244"," Luxembourg",NA,NA,NA,NA,9.41
"245"," Germany",NA,NA,NA,NA,9.12
"246"," South Korea",NA,NA,NA,NA,7.94
"247"," Japan",NA,NA,NA,NA,8.24
"248"," United Kingdom",NA,NA,NA,NA,8.82
"249"," Mauritius",NA,NA,NA,NA,8.53
"250"," Austria",NA,NA,NA,NA,8.24
"251"," Costa Rica",NA,NA,NA,NA,9.71
"252"," France",NA,NA,NA,NA,8.24
"253"," Israel",NA,NA,NA,NA,5.88
"254"," Spain",NA,NA,NA,NA,8.24
"255"," Chile",NA,NA,NA,NA,9.12
"256"," United States",NA,NA,NA,NA,8.53
"257"," Estonia",NA,NA,NA,NA,8.24
"258"," Portugal",NA,NA,NA,NA,8.82
"259"," Czech Republic",NA,NA,NA,NA,8.53
"260"," Botswana",NA,NA,NA,NA,8.53
"261"," Italy",NA,NA,NA,NA,7.65
"262"," Cape Verde",NA,NA,NA,NA,8.53
"263"," Malta",NA,NA,NA,NA,8.24
"264"," Greece",NA,NA,NA,NA,8.53
"265"," Slovenia",NA,NA,NA,NA,8.24
"266"," Belgium",NA,NA,NA,NA,8.24
"267"," Cyprus",NA,NA,NA,NA,8.53
"268"," Latvia",NA,NA,NA,NA,8.53
"269"," Malaysia",NA,NA,NA,NA,5.29
"270"," Lithuania",NA,NA,NA,NA,8.53
"271"," Trinidad and Tobago",NA,NA,NA,NA,7.35
"272"," Jamaica",NA,NA,NA,NA,8.53
"273"," East Timor",NA,NA,NA,NA,7.35
"274"," South Africa",NA,NA,NA,NA,7.35
"275"," Slovakia",NA,NA,NA,NA,7.94
"276"," India",NA,NA,NA,NA,6.18
"277"," Brazil",NA,NA,NA,NA,7.65
"278"," Panama",NA,NA,NA,NA,7.65
"279"," Suriname",NA,NA,NA,NA,7.35
"280"," Argentina",NA,NA,NA,NA,7.65
"281"," Poland",NA,NA,NA,NA,6.47
"282"," Indonesia",NA,NA,NA,NA,6.18
"283"," Bulgaria",NA,NA,NA,NA,7.06
"284"," Philippines",NA,NA,NA,NA,6.76
"285"," Namibia",NA,NA,NA,NA,7.94
"286"," Croatia",NA,NA,NA,NA,6.76
"287"," Ghana",NA,NA,NA,NA,5.88
"288"," Hungary",NA,NA,NA,NA,6.47
"289"," Colombia",NA,NA,NA,NA,7.65
"290"," Dominican Republic",NA,NA,NA,NA,7.06
"291"," Romania",NA,NA,NA,NA,7.06
"292"," Mongolia",NA,NA,NA,NA,5.88
"293"," Serbia",NA,NA,NA,NA,7.06
"294"," Lesotho",NA,NA,NA,NA,6.47
"295"," Guyana",NA,NA,NA,NA,7.06
"296"," Singapore",NA,NA,NA,NA,6.18
"297"," Sri Lanka",NA,NA,NA,NA,6.18
"298"," Albania",NA,NA,NA,NA,7.06
"299"," Moldova",NA,NA,NA,NA,6.76
"300"," Papua New Guinea",NA,NA,NA,NA,7.35
"301"," Peru",NA,NA,NA,NA,7.06
"302"," Thailand",NA,NA,NA,NA,5.29
"303"," North Macedonia",NA,NA,NA,NA,7.06
"304"," Montenegro",NA,NA,NA,NA,6.47
"305"," Bangladesh",NA,NA,NA,NA,5.29
"306"," Tunisia",NA,NA,NA,NA,5.59
"307"," Paraguay",NA,NA,NA,NA,7.06
"308"," Malawi",NA,NA,NA,NA,6.18
"309"," El Salvador",NA,NA,NA,NA,6.18
"310"," Zambia",NA,NA,NA,NA,5.59
"311"," Bhutan",NA,NA,NA,NA,4.71
"312"," Ecuador",NA,NA,NA,NA,6.18
"313"," Madagascar",NA,NA,NA,NA,4.71
"314"," Fiji",NA,NA,NA,NA,5.29
"315"," Hong Kong",NA,NA,NA,NA,8.53
"316"," Mexico",NA,NA,NA,NA,5.59
"317"," Ukraine",NA,NA,NA,NA,5.59
"318"," Senegal",NA,NA,NA,NA,5.59
"319"," Armenia",NA,NA,NA,NA,5
"320"," Liberia",NA,NA,NA,NA,5.29
"321"," Georgia",NA,NA,NA,NA,5.29
"322"," Honduras",NA,NA,NA,NA,5.88
"323"," Tanzania",NA,NA,NA,NA,4.41
"324"," Kenya",NA,NA,NA,NA,4.12
"325"," Bosnia and Herzegovina",NA,NA,NA,NA,5.59
"326"," Morocco",NA,NA,NA,NA,4.12
"327"," Sierra Leone",NA,NA,NA,NA,5.29
"328"," Bolivia",NA,NA,NA,NA,5.59
"329"," Guatemala",NA,NA,NA,NA,5.88
"330"," Uganda",NA,NA,NA,NA,5
"331"," Gambia",NA,NA,NA,NA,4.12
"332","   Nepal",NA,NA,NA,NA,5.29
"333"," Turkey",NA,NA,NA,NA,2.06
"334"," Pakistan",NA,NA,NA,NA,4.71
"335"," Ivory Coast",NA,NA,NA,NA,3.82
"336"," Benin",NA,NA,NA,NA,4.41
"337"," Nigeria",NA,NA,NA,NA,3.82
"338"," Mauritania",NA,NA,NA,NA,4.41
"339"," Palestine",NA,NA,NA,NA,3.53
"340"," Kuwait",NA,NA,NA,NA,3.24
"341"," Burkina Faso",NA,NA,NA,NA,3.82
"342"," Lebanon",NA,NA,NA,NA,4.12
"343"," Algeria",NA,NA,NA,NA,3.82
"344"," Qatar",NA,NA,NA,NA,3.53
"345"," Kyrgyzstan",NA,NA,NA,NA,4.71
"346"," Iraq",NA,NA,NA,NA,1.18
"347"," Mozambique",NA,NA,NA,NA,3.53
"348"," Jordan",NA,NA,NA,NA,3.24
"349"," Haiti",NA,NA,NA,NA,5.29
"350"," Mali",NA,NA,NA,NA,3.82
"351"," Gabon",NA,NA,NA,NA,3.53
"352"," Angola",NA,NA,NA,NA,2.65
"353"," Ethiopia",NA,NA,NA,NA,1.76
"354"," Russia",NA,NA,NA,NA,4.12
"355"," Niger",NA,NA,NA,NA,4.71
"356"," Comoros",NA,NA,NA,NA,3.53
"357"," Rwanda",NA,NA,NA,NA,2.65
"358"," Eswatini",NA,NA,NA,NA,3.24
"359"," Kazakhstan",NA,NA,NA,NA,2.94
"360"," Oman",NA,NA,NA,NA,3.82
"361"," Vietnam",NA,NA,NA,NA,2.35
"362"," Egypt",NA,NA,NA,NA,1.76
"363"," Zimbabwe",NA,NA,NA,NA,3.24
"364"," Cambodia",NA,NA,NA,NA,1.76
"365"," United Arab Emirates",NA,NA,NA,NA,2.35
"366"," Togo",NA,NA,NA,NA,2.94
"367"," Republic of the Congo",NA,NA,NA,NA,3.24
"368"," Guinea-Bissau",NA,NA,NA,NA,2.35
"369"," Djibouti",NA,NA,NA,NA,2.35
"370"," Nicaragua",NA,NA,NA,NA,3.24
"371"," Azerbaijan",NA,NA,NA,NA,2.65
"372"," Cuba",NA,NA,NA,NA,2.65
"373"," Cameroon",NA,NA,NA,NA,2.06
"374"," Bahrain",NA,NA,NA,NA,1.76
"375"," Sudan",NA,NA,NA,NA,1.47
"376"," Belarus",NA,NA,NA,NA,1.76
"377"," Guinea",NA,NA,NA,NA,2.65
"378"," China",NA,NA,NA,NA,0.88
"379"," Burundi",NA,NA,NA,NA,1.76
"380"," Uzbekistan",NA,NA,NA,NA,0.88
"381"," Venezuela",NA,NA,NA,NA,2.35
"382"," Saudi Arabia",NA,NA,NA,NA,1.47
"383"," Eritrea",NA,NA,NA,NA,0.59
"384"," Libya",NA,NA,NA,NA,2.65
"385"," Iran",NA,NA,NA,NA,1.47
"386"," Yemen",NA,NA,NA,NA,0.88
"387"," Tajikistan",NA,NA,NA,NA,0.88
"388"," Equatorial Guinea",NA,NA,NA,NA,1.47
"389"," Laos",NA,NA,NA,NA,0.59
"390"," Chad",NA,NA,NA,NA,2.35
"391"," Turkmenistan",NA,NA,NA,NA,0.29
"392"," Syria",NA,NA,NA,NA,0
"393"," Central African Republic",NA,NA,NA,NA,2.35
"394"," Democratic Republic of the Congo",NA,NA,NA,NA,0.88
"395"," North Korea",NA,NA,NA,NA,0
"396"," Myanmar",NA,NA,NA,NA,0.29
"397"," Afghanistan",NA,NA,NA,NA,0.29
