name,slug,value,date_of_information,ranking,region
"Congo, Republic of the","congo-republic-of-the","3.9","2019 est.","106","Africa"
"Croatia","croatia","3.9","2017 est.","107","Europe"
"Egypt","egypt","3.9","2015 est.","108","Africa"
"Lithuania","lithuania","3.9","2018 est.","109","Europe"
"Seychelles","seychelles","3.9","2019 est.","110","Africa"
"Georgia","georgia","3.8","2020 est.","111","Middle East"
"Cote d'Ivoire","cote-divoire","3.7","2019 est.","112","Africa"
"Iran","iran","3.7","2019 est.","113","Middle East"
"Luxembourg","luxembourg","3.7","2018 est.","114","Europe"
"Anguilla","anguilla","3.6","2018 est.","115","Central America and the Caribbean"
"Djibouti","djibouti","3.6","2018 est.","116","Africa"
"Greece","greece","3.6","2018 est.","117","Europe"
"Grenada","grenada","3.6","2018 est.","118","Central America and the Caribbean"
"Saint Lucia","saint-lucia","3.6","2020 est.","119","Central America and the Caribbean"
"Serbia","serbia","3.6","2019 est.","120","Europe"
"Trinidad and Tobago","trinidad-and-tobago","3.6","2019 est.","121","Central America and the Caribbean"
"Zimbabwe","zimbabwe","3.6","2018 est.","122","Africa"
"China","china","3.5","2018 est.","123","East and Southeast Asia"
"Cook Islands","cook-islands","3.5","2019 est.","124","Australia and Oceania"
"India","india","3.5","2016 est.","125","South Asia"
"Niger","niger","3.5","2019 est.","126","Africa"
"Paraguay","paraguay","3.5","2019 est.","127","South America"
"Turks and Caicos Islands","turks-and-caicos-islands","3.5","2019 est.","128","Central America and the Caribbean"
"El Salvador","el-salvador","3.4","2019 est.","129","Central America and the Caribbean"
"Ireland","ireland","3.4","2018 est.","130","Europe"
"Mali","mali","3.4","2019 est.","131","Africa"
"Nicaragua","nicaragua","3.4","2019 est.","132","Central America and the Caribbean"
"Rwanda","rwanda","3.4","2020 est.","133","Africa"
"San Marino","san-marino","3.4","2019 est.","134","Europe"
"Antigua and Barbuda","antigua-and-barbuda","3.3","2020 est.","135","Central America and the Caribbean"
"Guatemala","guatemala","3.3","2020 est.","136","Central America and the Caribbean"
"Romania","romania","3.3","2018 est.","137","Europe"
"Afghanistan","afghanistan","3.2","2019 est.","138","South Asia"
"Andorra","andorra","3.2","2019 est.","139","Europe"
"Japan","japan","3.2","2017 est.","140","East and Southeast Asia"
"Philippines","philippines","3.2","2019 est.","141","East and Southeast Asia"
