name,slug,value,date_of_information,ranking,region
"Moldova","moldova","10.9"," est.","131","Europe"
"Poland","poland","10.8"," est.","132","Europe"
"Bhutan","bhutan","10.7"," est.","133","South Asia"
"Malta","malta","10.7"," est.","134","Europe"
"Singapore","singapore","10.6"," est.","135","East and Southeast Asia"
"Austria","austria","10.5"," est.","136","Europe"
"Korea, South","korea-south","10.3"," est.","137","East and Southeast Asia"
"Isle of Man","isle-of-man","10.1"," est.","138","Europe"
"El Salvador","el-salvador","10.0","","139","Central America and the Caribbean"
"Iceland","iceland","10.0"," est.","140","Europe"
"Kyrgyzstan","kyrgyzstan","9.6"," est.","141","Central Asia"
"Togo","togo","9.5"," est.","142","Africa"
"Sierra Leone","sierra-leone","9.4"," est.","143","Africa"
"Ghana","ghana","9.1"," est.","144","Africa"
"Netherlands","netherlands","9.1"," est.","145","Europe"
"Tonga","tonga","8.9","","146","Australia and Oceania"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","8.7"," est.","147","Africa"
"Trinidad and Tobago","trinidad-and-tobago","8.7"," est.","148","Central America and the Caribbean"
"Burkina Faso","burkina-faso","8.6","","149","Africa"
"Switzerland","switzerland","8.6"," est.","150","Europe"
"Malawi","malawi","8.5"," est.","151","Africa"
"Nicaragua","nicaragua","8.5"," est.","152","Central America and the Caribbean"
"Macau","macau","8.1"," est.","153","East and Southeast Asia"
"Mexico","mexico","8.1"," est.","154","North America"
"Czechia","czechia","8.0"," est.","155","Europe"
"Israel","israel","7.9"," est.","156","Middle East"
"Pakistan","pakistan","7.9"," est.","157","South Asia"
"Vietnam","vietnam","7.6"," est.","158","East and Southeast Asia"
"Mozambique","mozambique","7.4"," est.","159","Africa"
"Germany","germany","7.2"," est.","160","Europe"
"United Arab Emirates","united-arab-emirates","7.2"," est.","161","Middle East"
"Guinea","guinea","7.1"," est.","162","Africa"
"Philippines","philippines","7.0"," est.","163","East and Southeast Asia"
"Cameroon","cameroon","6.3"," est.","164","Africa"
"Palau","palau","5.6","","165","Australia and Oceania"
"Cote d'Ivoire","cote-divoire","5.5"," est.","166","Africa"
"Bahrain","bahrain","5.3"," est.","167","Middle East"
"Thailand","thailand","5.2"," est.","168","East and Southeast Asia"
"Guatemala","guatemala","4.6"," est.","169","Central America and the Caribbean"
"Japan","japan","4.6"," est.","170","East and Southeast Asia"
"Senegal","senegal","4.1"," est.","171","Africa"
"Benin","benin","3.9"," est.","172","Africa"
"Tanzania","tanzania","3.9"," est.","173","Africa"
"Kazakhstan","kazakhstan","3.8"," est.","174","Central Asia"
"Ethiopia","ethiopia","3.5"," est.","175","Africa"
"Madagascar","madagascar","3.4"," est.","176","Africa"
"Burundi","burundi","2.9"," est.","177","Africa"
"Cambodia","cambodia","2.5"," est.","178","East and Southeast Asia"
"Mali","mali","2.4"," est.","179","Africa"
"Liberia","liberia","2.3"," est.","180","Africa"
"Burma","burma","1.5"," est.","181","East and Southeast Asia"
"Chad","chad","1.5","","182","Africa"
"Solomon Islands","solomon-islands","1.3","","183","Australia and Oceania"
"Qatar","qatar","0.4"," est.","184","Middle East"
